#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 1.355648  5.168037  2.078169  7.829372  0.000000  0.000000  0.000  0.000    2.292276202060779  1.09840 -33.00000   2.1414103 -20.3990299    8.7502998   0.0073128   0.000000      -0.000000    
 1.324517  5.160738  2.075634  7.829987  0.000000  0.000000  0.000  0.000    2.292283872930421  1.09840 -33.00000   2.1119725 -20.3728211    8.7522378   0.0072965   0.000000      -0.000000    
 1.293248  5.153393  2.073119  7.830569  0.000000  0.000000  0.000  0.000    2.292291855123962  1.09840 -33.00000   2.0826270 -20.3723970    8.7541252   0.0072807   0.000000      -0.000000    
 1.261897  5.146014  2.070635  7.831146  0.000000  0.000000  0.000  0.000    2.292300153761747  1.09840 -33.00000   2.0534287 -20.3589633    8.7559616   0.0072653   0.000000      -0.000000    
 1.230441  5.138593  2.068166  7.831685  0.000000  0.000000  0.000  0.000    2.292308783851531  1.09840 -33.00000   2.0242964 -20.3533983    8.7577309   0.0072505   0.000000      -0.000000    
 1.198997  5.131166  2.065732  7.832227  0.000000  0.000000  0.000  0.000    2.292317746965363  1.09840 -33.00000   1.9953788 -20.3419697    8.7594686   0.0072361   0.000000      -0.000000    
 1.167503  5.123718  2.063315  7.832743  0.000000  0.000000  0.000  0.000    2.292327075981326  1.09840 -33.00000   1.9665604 -20.3314201    8.7611708   0.0072219   0.000000      -0.000000    
 1.136017  5.116265  2.060926  7.833263  0.000000  0.000000  0.000  0.000    2.292336777701688  1.09840 -33.00000   1.9379096 -20.3224784    8.7628439   0.0072080   0.000000      -0.000000    
 1.104511  5.108798  2.058552  7.833758  0.000000  0.000000  0.000  0.000    2.292346872406362  1.09840 -33.00000   1.9093568 -20.3202430    8.7644811   0.0071944   0.000000      -0.000000    
 1.073033  5.101330  2.056206  7.834258  0.000000  0.000000  0.000  0.000    2.292357366076733  1.09840 -33.00000   1.8809725 -20.2960750    8.7660889   0.0071811   0.000000      -0.000000    
 1.041571  5.093857  2.053872  7.834732  0.000000  0.000000  0.000  0.000    2.292368279781947  1.09840 -33.00000   1.8526875 -20.2842856    8.7676603   0.0071681   0.000000      -0.000000    
 1.010174  5.086394  2.051564  7.835208  0.000000  0.000000  0.000  0.000    2.292379618824454  1.09840 -33.00000   1.8245679 -20.2784977    8.7692008   0.0071554   0.000000      -0.000000    
 0.978806  5.078927  2.049266  7.835655  0.000000  0.000000  0.000  0.000    2.292391403730092  1.09840 -33.00000   1.7965438 -20.2755442    8.7707015   0.0071431   0.000000      -0.000000    
 0.947531  5.071475  2.046994  7.836105  0.000000  0.000000  0.000  0.000    2.292403638958073  1.09840 -33.00000   1.7686926 -20.2661735    8.7721697   0.0071310   0.000000      -0.000000    
 0.916340  5.064034  2.044730  7.836528  0.000000  0.000000  0.000  0.000    2.292416349452870  1.09840 -33.00000   1.7409385 -20.2544954    8.7735965   0.0071193   0.000000      -0.000000    
 0.885297  5.056621  2.042491  7.836952  0.000000  0.000000  0.000  0.000    2.292429541734182  1.09840 -33.00000   1.7133473 -20.2305620    8.7749873   0.0071079   0.000000      -0.000000    
 0.854314  5.049209  2.040257  7.837345  0.000000  0.000000  0.000  0.000    2.292443241112490  1.09840 -33.00000   1.6858276 -20.2239755    8.7763238   0.0070970   0.000000      -0.000000    
 0.823544  5.041841  2.038048  7.837740  0.000000  0.000000  0.000  0.000    2.292457444128071  1.09840 -33.00000   1.6584890 -20.2042296    8.7776213   0.0070864   0.000000      -0.000000    
 0.792844  5.034483  2.035847  7.838112  0.000000  0.000000  0.000  0.000    2.292472189290783  1.09840 -33.00000   1.6312660 -20.1878239    8.7788896   0.0070761   0.000000      -0.000000    
